t1,t2,ph,
27.56,27.19,8.94,
27.56,27.19,8.92,
27.56,27.19,8.93,
27.56,27.19,8.94,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.94,
27.56,27.19,8.92,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.93,
27.56,27.19,8.94,
27.56,27.25,8.94,
27.56,27.19,8.94,
27.56,27.25,8.94,
27.56,27.19,8.93,
27.56,27.19,8.94,
27.56,27.19,8.93,
27.56,27.25,8.94,
27.56,27.25,8.94,
27.56,27.25,8.93,
27.56,27.19,8.93,
27.62,27.25,8.93,
27.62,27.25,8.93,
27.62,27.25,8.93,
27.56,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.56,27.25,8.93,
27.62,27.25,8.93,
27.56,27.25,8.92,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.19,8.92,
27.62,27.25,8.93,
27.62,27.25,8.93,
27.56,27.25,8.93,
27.62,27.25,8.93,
27.62,27.25,8.93,
27.62,27.25,8.92,
27.62,27.25,8.94,
27.62,27.25,8.92,
27.62,27.25,8.89,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.91,
27.62,27.25,8.91,
27.62,27.25,8.91,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.91,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.91,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.62,27.25,8.92,
27.69,27.25,8.92,
27.62,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.91,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.31,8.92,
27.62,27.25,8.89,
27.69,27.25,8.92,
27.62,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.31,8.92,
27.69,27.25,8.92,
27.69,27.31,8.93,
27.69,27.25,8.92,
27.69,27.25,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.25,8.92,
27.69,27.31,8.92,
27.69,27.25,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.25,8.92,
27.69,27.31,8.92,
27.62,27.31,8.92,
27.62,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.62,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.62,27.31,8.92,
27.62,27.31,8.92,
27.62,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.89,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.91,
27.69,27.31,8.92,
27.69,27.31,8.92,
27.69,27.31,8.91,
